source,url,price_local,currency,price_usd,bedrooms,sqm,price_per_sqm_usd,district,rooms_text_raw,sqm_text_raw,price_text_raw
olx,https://www.olx.ua/d/uk/obyavlenie/orenda-1-kmnatno-kvartiri-p-t-akademka-glushkova-9d-metro-podrom-teremki-studya-generator-na-vse-ID10ztrX.html?search_reason=search%7Corganic,15000,UAH,338.85,0,,,Голосіївський,"Оренда 1 кімнатної квартири п-т. Академіка Глушкова 9Д метро Іподром, Теремки, студія, генератор на все",,15 000 грн.
olx,https://www.olx.ua/d/uk/obyavlenie/orenda-2k-dragomanova-2-ID10sBec.html?search_reason=search%7Corganic,22000,UAH,496.98,1,,,Дарницький,"Оренда 2к, Драгоманова 2",,22 000 грн.
olx,https://www.olx.ua/d/uk/obyavlenie/dovgostrokova-orenda-1k-kvartiri-v-zhk-avtograf-vd-vlasnika-ID10vYkl.html?search_reason=search%7Corganic,25000,UAH,564.75,0,,,Дніпровський,Довгострокова оренда 1к-квартири в ЖК Автограф від власника,,25 000 грн.
olx,https://www.olx.ua/d/uk/obyavlenie/orenda-odnokmnatno-darnitsya-vul-budvelnikv-ID10wRcR.html?search_reason=search%7Corganic,13500,UAH,304.96,0,,,Дніпровський,Оренда однокімнатної . Дарниця.Вул. Будівельників.,,13 500 грн.
olx,https://www.olx.ua/d/uk/obyavlenie/orenda-kvartira-3k-srbnoklska-14-ID10z7T2.html?search_reason=search%7Corganic,26000,UAH,587.34,2,,,Дарницький,Оренда квартира 3к Срібнокільська 14,,26 000 грн.
olx,https://www.olx.ua/d/uk/obyavlenie/orenda-2h-kmnatno-kvartiri-m-kp-IDY9QC1.html?search_reason=search%7Cpromoted,44293,UAH,1000.58,1,,,Шевченківський,"Оренда 2х кімнатної квартири, м. КПІ",,44 293.08 грн.
olx,https://www.olx.ua/d/uk/obyavlenie/3-kmnatna-kvartira-u-tsentr-pecherskiy-rayon-bulvar-les-ukranki-ID10tNTv.html?search_reason=search%7Cpromoted,62010,UAH,1400.80,2,,,Печерський,"3 кімнатна квартира у центрі. Печерський район, бульвар Лесі Українки",,62 010.31 грн.
olx,https://www.olx.ua/d/uk/obyavlenie/orenda-4k-kvartira-169m2-vul-staronavodnitska-pechersk-kiv-ID10qvRU.html?search_reason=search%7Cpromoted,57581,UAH,1300.75,3,169,7.70,Печерський,"Оренда / 4к Квартира / 169м2 / вул. Старонаводницька, Печерськ, Київ",169м2,57 581 грн.
olx,https://www.olx.ua/d/uk/obyavlenie/zdam-dizaynersku-1-k-zhk-new-york-antonovicha-74-pecherskiy-ID10wrJM.html?search_reason=search%7Corganic,53151,UAH,1200.68,0,,,Голосіївський,Здам дизайнерську 1-к ЖК New York Антоновича 74 Печерський,,53 151.69 грн.
olx,https://www.olx.ua/d/uk/obyavlenie/stilna-studya-na-chavdar-13-metro-osokorki-ta-poznyaki-10-hvilin-generator-ID10zGEZ.html?search_reason=search%7Corganic,15000,UAH,338.85,0,,,Дарницький,Стильна студія на Чавдар 13 - метро Осокорки та Позняки 10 хвилин - генератор,,15 000 грн.
olx,https://www.olx.ua/d/uk/obyavlenie/zdam-1-kmnatnu-kvartiru-na-troschin-gaz-konditsoner-bez-zaloga-ID10yfGy.html?search_reason=search%7Corganic,7800,UAH,176.20,0,,,Деснянський,"Здам 1 кімнатну квартиру на Троєщині ,газ, кондиціонер, без залога !",,7 800 грн.
olx,https://www.olx.ua/d/uk/obyavlenie/orenda-1k-kvartiri-zhk-nova-anglya-ID10wflt.html?search_reason=search%7Corganic,30000,UAH,677.70,0,,,Голосіївський,Оренда 1к квартири ЖК Нова Англія,,30 000 грн.
olx,https://www.olx.ua/d/uk/obyavlenie/orenda-dvokmnatno-kvartiri-na-pechersku-vd-vlasnika-ID10yF16.html?search_reason=search%7Corganic,39000,UAH,881.01,1,,,Печерський,Оренда двокімнатної квартири на Печерську від власника,,39 000 грн.Договірна
olx,https://www.olx.ua/d/uk/obyavlenie/orenda-2k-kvartiri-poznyaki-ID10sGVp.html?search_reason=search%7Corganic,18000,UAH,406.62,1,,,Дарницький,"Оренда 2к квартири, Позняки",,18 000 грн.
olx,https://www.olx.ua/d/uk/obyavlenie/dovgostrokova-orenda-1k-kvartiri-zhk-fayna-taun-ID10v4pV.html?search_reason=search%7Corganic,30000,UAH,677.70,0,,,Подільський,Довгострокова оренда 1к квартири ЖК Файна Таун,,30 000 грн.
olx,https://www.olx.ua/d/uk/obyavlenie/zdatsya-1-km-kvartira-vul-zabolotnogo-ID10sXtL.html?search_reason=search%7Cpromoted,15000,UAH,338.85,0,,,Голосіївський,Здається 1-кім квартира вул.Заболотного,,15 000 грн.
olx,https://www.olx.ua/d/uk/obyavlenie/zdam-chudovu-odnokmnatnu-v-novomu-budinku-blya-metro-lvoberezhna-IDZBhnA.html?search_reason=search%7Cpromoted,17000,UAH,384.03,0,,,Дніпровський,Здам чудову однокімнатну в новому будинку біля  метро Лівобережна,,17 000 грн.
olx,https://www.olx.ua/d/uk/obyavlenie/stilna-1-kmnatna-kvartira-v-zhk-unit-home-ID10yP56.html?search_reason=search%7Corganic,42000,UAH,948.78,0,,,Шевченківський,Стильна 1-кімнатна квартира в ЖК Unit Home,,42 000 грн.
olx,https://www.olx.ua/d/uk/obyavlenie/kvartira-trikmnatna-verbitskogo-11-ID10qJ5X.html?search_reason=search%7Corganic,17000,UAH,384.03,2,,,Дарницький,"Квартира трикімнатна Вербицького,  11",,17 000 грн.
olx,https://www.olx.ua/d/uk/obyavlenie/zdatsya-tri-kmnatna-kvartira-po-adres-prospekt-chervono-kalini-8-ID10sPnJ.html?search_reason=search%7Corganic,15000,UAH,338.85,2,,,Деснянський,Здається три кімнатна квартира по адресі проспект Червоної Калини 8,,15 000 грн.
olx,https://www.olx.ua/d/uk/obyavlenie/taun-haus-3-kmnatniy-svtlo-24-7-ID10x7jF.html?search_reason=search%7Cpromoted,26500,UAH,598.63,2,,,Голосіївський,Таун Хаус  3-кімнатний Світло 24/7,,"26 500 грн..css-o2j8v0{color:var(--colorsForegroundSecondary);font-weight:var(--fontWeightRegular);width:100%;text-align:right;}.css-rbevy1{font-size:var(
        --fontSizeBodyExtraSmall,
        12px
    );line-height:var(
        --lineHeightRegular,
        16px
    );color:var(--colorsForegroundSecondary);font-weight:var(--fontWeightRegular);width:100%;text-align:right;}.css-zf56ej{color:var(
        --colorsForegroundPrimary,
        #02282C
    );font-family:var(--fontFamilyPrimary, Geomanist, sans-serif);font-weight:700;-webkit-text-decoration:none;text-decoration:none;font-size:var(
        --fontSizeBodyExtraSmall,
        12px
    );line-height:var(
        --lineHeightRegular,
        16px
    );color:var(--colorsForegroundSecondary);font-weight:var(--fontWeightRegular);width:100%;text-align:right;}"
olx,https://www.olx.ua/d/uk/obyavlenie/dvokmnatna-kvartira-metro-beresteyska-5-hv-pshki-beresteyskiy-pr-remont-mebl-tehnka-ID10iGdX.html?search_reason=search%7Cpromoted,18400,UAH,415.65,1,,,Шевченківський,"Двокімнатна квартира. Метро Берестейська 5 хв. пішки, Берестейський пр, ремонт меблі техніка.",,18 400 грн.
olx,https://www.olx.ua/d/uk/obyavlenie/orenda-1-kmn-pechersk-metro-zvrinetska-ID10zs2m.html?search_reason=search%7Corganic,12000,UAH,271.08,0,,,Печерський,"Оренда 1-кімн., Печерськ,  метро Звіринецька .",,12 000 грн.Договірна
olx,https://www.olx.ua/d/uk/obyavlenie/25-persha-zdacha-2-km-kv-pr-beresteyskiy-11-zhk-manhetten-ID10qBbb.html?search_reason=search%7Corganic,33219,UAH,750.41,1,,,Шевченківський,25%перша здача 2 кім кв. пр. Берестейський 11 ЖК Манхеттен,,33 219.81 грн.
olx,https://www.olx.ua/d/uk/obyavlenie/persha-zdacha-bez-koms-1-k-kv-vrodvushka-navgator-2-bez-koms-ID10vqjU.html?search_reason=search%7Corganic,23000,UAH,519.57,0,,,Оболонський,"Перша здача! Без комісії! 1-к кв. Євродвушка. Навігатор-2, Без комісії",,23 000 грн.
olx,https://www.olx.ua/d/uk/obyavlenie/sdam-1k-podlskiy-r-n-vul-petropavlvska-bud-11-ID10xIzZ.html?search_reason=search%7Corganic,11000,UAH,248.49,0,,,Подільський,Сдам 1к Подільський р-н вул Петропавлівська буд 11,,11 000 грн.
