source,url,price_text,rooms_text,sqm_text,district,listed_at_text
olx,https://www.olx.ua/d/uk/obyavlenie/zdam-odnokmnatnu-kvartiru-v-desna-residence-s-zazimya-brovarskiy-rayon-ID10ySUw.html?search_reason=search%7Corganic,15 000 грн.,"Здам однокімнатну квартиру в Desna Residence  с.Зазимя,Броварський район.",,Дніпровський,"Київ, Дніпровський - Сьогодні о 07:51"
olx,https://www.olx.ua/d/uk/obyavlenie/sdam-1-kom-kv-ul-urlovskaya-21-metro-osokorki-poznyaki-trts-river-mol-ID10ycnu.html?search_reason=search%7Corganic,12 500 грн.,"Сдам 1 ком кв ул Урловская 21, метро Осокорки, Позняки трц Ривер мол",,Дарницький,"Київ, Дарницький - Сьогодні о 01:29"
olx,https://www.olx.ua/d/uk/obyavlenie/zdam-2-h-kmnatnu-kvartiru-dashkevicha-26-yaksniy-remont-ID10rLBa.html?search_reason=search%7Corganic,13 000 грн.,"Здам 2 х кімнатну квартиру Дашкевича 26, якісний ремонт.",,Дніпровський,"Київ, Дніпровський - 30 травня 2026 р."
olx,https://www.olx.ua/d/uk/obyavlenie/orenda-1k-kv-vul-rayduzhna-ID10B4MG.html?search_reason=search%7Cpromoted,11 000 грн.,Оренда 1к кв! Вул. Райдужна,,Дніпровський,"Київ, Дніпровський - Сьогодні о 14:34"
olx,https://www.olx.ua/d/uk/obyavlenie/zdam-3-k-dovgotrivalo-vul-darvna-10-ID10wRLA.html?search_reason=search%7Cpromoted,42 078.42 грн.,"Здам 3 к довготривало , вул . Дарвіна 10",,Печерський,"Київ, Печерський - 18 травня 2026 р."
olx,https://www.olx.ua/d/uk/obyavlenie/orenda-2-kmnatno-kvartiri-v-kb-90-m2-osokorki-vul-sadova-ID10x69A.html?search_reason=search%7Corganic,79 727.54 грн.,Оренда 2-кімнатної квартири в КБ/90 м2/Осокорки/вул. Садова,90 м2,Дарницький,"Київ, Дарницький - Сьогодні о 11:05"
olx,https://www.olx.ua/d/uk/obyavlenie/vlasnik-sdam-vrodvushku-oleni-pchlki-2a-ID10yJDa.html?search_reason=search%7Corganic,20 000 грн.,Власник Сдам євродвушку Олени  Пчілки 2а,,Дарницький,"Київ, Дарницький - Сьогодні о 06:00"
olx,https://www.olx.ua/d/uk/obyavlenie/orenda-kvartiri-95m2-pechersk-boychuka-zhk-52-perlina-kaddor-novopechersk-lipki-tsentr-ID10uizS.html?search_reason=search%7Corganic,119 591.31 грн.Договірна,Оренда квартири 95м2 Печерськ Бойчука ЖК 52 перлина Каддор Новопечерські липки Центр,95м2,Печерський,"Київ, Печерський - Сьогодні о 15:52"
olx,https://www.olx.ua/d/uk/obyavlenie/orenda-2hkm-90-m-kv-poznyaki-metro-mshugi-ID10AnOo.html?search_reason=search%7Corganic,22 000 грн.,"Оренда 2хкім 90 м кв Позняки метро,  Мішуги",,Дарницький,"Київ, Дарницький - Сьогодні о 14:59"
olx,https://www.olx.ua/d/uk/obyavlenie/orenda-3k-kvartira-90m-u-zhk-river-stone-3-y-poverh-vid-na-dnpro-pet-friendly-osokorki-river-moll-zhk-river-stoun-ID10sASj.html?search_reason=search%7Corganic,50 937.04 грн.,"Оренда / 3к квартира / 90м у ЖК River Stone! 3-й поверх, вид на Дніпро, pet-friendly / осокорки / ривер молл / жк ривер стоун",,Дарницький,"Київ, Дарницький - Сьогодні о 10:24"
olx,https://www.olx.ua/d/uk/obyavlenie/kopernika-3-stilna-3-kmnatna-101m2-v-tsentr-blya-metro-ID10yIuX.html?search_reason=search%7Corganic,32 000 грн.,"Коперника 3, стильна 3 кімнатна 101м2 в центрі біля метро",101м2,Шевченківський,"Київ, Шевченківський - 30 травня 2026 р."
olx,https://www.olx.ua/d/uk/obyavlenie/orenda-vro-2k-59m2-park-feofanya-ID10rtls.html?search_reason=search%7Corganic,44 293.08 грн.,Оренда Євро 2к 59м2. Парк Феофанія.,59м2,Голосіївський,"Київ, Голосіївський - 30 травня 2026 р."
olx,https://www.olx.ua/d/uk/obyavlenie/zdam-3-kmn-v-zhk-bulvar-fontanv-saperne-pole-3-ID10zdO8.html?search_reason=search%7Corganic,84 156.85 грн.,Здам 3 кімн в жк «бульвар фонтанів» саперне поле 3,,Печерський,"Київ, Печерський - Сьогодні о 10:08"
olx,https://www.olx.ua/d/uk/obyavlenie/persha-zdacha-1k-kvartiri-zhk-garmonya-metro-zhitomirska-ID10AnNk.html?search_reason=search%7Corganic,23 000 грн.,Перша здача 1К квартири_ЖК Гармонія_метро Житомирська,,Святошинський,"Київ, Святошинський - Сьогодні о 14:33"
olx,https://www.olx.ua/d/uk/obyavlenie/dovgostrokova-orenda-kvartiri-pechersk-zhk-aristokrat-ID10x9WB.html?search_reason=search%7Corganic,88 586.16 грн.,"Довгострокова оренда квартири  Печерськ, ЖК Аристократ",,Печерський,"Київ, Печерський - Сьогодні о 13:17"
olx,https://www.olx.ua/d/uk/obyavlenie/zdatsya-1-kmn-kv-prt-v-vasyuka-4-zhk-oazis-naberezhna-ID10zvDs.html?search_reason=search%7Cpromoted,20 000 грн.,"Здається 1 кімн.кв. прт.В.Івасюка 4, ЖК Оазис Набережна",,Оболонський,"Київ, Оболонський - Сьогодні о 12:25"
olx,https://www.olx.ua/d/uk/obyavlenie/orenda-suchasno-kvartiri-v-zhk-fayna-taun-nivki-IDYSXTw.html?search_reason=search%7Cpromoted,28 000 грн.,"Оренда сучасної квартири в ЖК Файна Таун, Нивки",,Шевченківський,"Київ, Шевченківський - 15 травня 2026 р."
olx,https://www.olx.ua/d/uk/obyavlenie/orenda-3k-podl-andrvska-tserkva-horiva-4-vidova-vlasnik-IDXxpVO.html?search_reason=search%7Cpromoted,84 156.85 грн.,"Оренда 3К  Поділ Андріївська церква, Хорива 4, Видова, Власник",,Подільський,"Київ, Подільський - Сьогодні о 09:51"
olx,https://www.olx.ua/d/uk/obyavlenie/orenda-1-k-kvartiri-42-kv-m-v-zhk-varshavskiy-ID10wzGj.html?search_reason=search%7Corganic,22 000 грн.,"Оренда 1 к квартири  42 кв.м, в ЖК Варшавський",42 кв.м,Подільський,"Київ, Подільський - Сьогодні о 15:14"
olx,https://www.olx.ua/d/uk/obyavlenie/sdam-4-h-komnatnuyu-kvartiru-harkovskiy-massiv-hozyain-ID10lPNn.html?search_reason=search%7Corganic,16 000 грн.,"Сдам 4-х комнатную квартиру Харьковский массив, хозяин",,Дарницький,"Київ, Дарницький - Сьогодні о 13:25"
olx,https://www.olx.ua/d/uk/obyavlenie/dvohkmnatna-kvartira-m-demvka-zhk-west-house-ID10zbbt.html?search_reason=search%7Corganic,39 863.77 грн.,Двохкімнатна квартира м.Деміївка ЖК West House,,Печерський,"Київ, Печерський - Сьогодні о 10:04"
olx,https://www.olx.ua/d/uk/obyavlenie/1-k-kv-zhk-harkvskiy-harkvske-shose-190-metro-virlitsya-borisplska-7-hv-ID10xf39.html?search_reason=search%7Corganic,17 000 грн.,"1 к. кв. ЖК  «Харківський» Харківське шосе 190 метро Вирлиця, Бориспільська 7 хв.",,Дарницький,"Київ, Дарницький - Сьогодні о 11:25"
